Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,Homens,Mulheres
Bhutan,456,[443.5-468.9],59.1,66.6,12.90,265,191
Brunei Darussalam,434,[381.4-493.8],99.2,107.8,33.22,236,198
Comoros,411,[364.8-463.0],47.3,79.0,15.90,161,250
Solomon Islands,308,[202.4-468.6],44.8,68.5,12.79,149,159
Guam,287,[247.6-332.7],170.0,116.9,31.44,159,128
Maldives,264,[253.1-275.4],48.8,72.8,16.42,163,101
Saint Lucia,232,[195.9-274.7],126.3,82.8,24.88,141,91
French Guiana,219,[180.8-265.3],73.3,87.6,29.95,135,84
Samoa,218,[145.8-326.0],109.9,139.8,35.54,111,107
Belize,213,[179.5-252.7],53.6,66.4,18.50,111,102
Vanuatu,149,[96.9-229.0],48.5,69.4,11.74,81,68
Sao Tome and Principe,103,[47.4-223.8],47.0,84.5,20.96,55,48
